ATE,Error_ATE,Error_PEHE,Problem
4.030549,0.234925,0.606431,IHDP 0
3.959626,0.012342,0.385774,IHDP 1
3.997861,0.222599,0.908156,IHDP 2
4.44431,0.367596,0.650992,IHDP 3
4.262547,0.035709,0.591538,IHDP 4
3.937132,0.274568,0.816887,IHDP 5
3.9585,0.123804,0.565799,IHDP 6
3.711442,0.335922,1.483892,IHDP 7
12.825093,0.507863,11.513925,IHDP 8
2.778521,0.040237,1.135084,IHDP 9
3.893408,0.12658,0.713918,IHDP 10
4.893555,0.416288,0.796608,IHDP 11
14.549109,1.454256,11.831261,IHDP 12
3.819642,0.463174,0.963577,IHDP 13
3.920643,0.244343,0.799777,IHDP 14
4.53679,0.224037,1.189843,IHDP 15
3.857548,0.299348,0.875688,IHDP 16
3.497777,0.617345,1.148784,IHDP 17
3.650291,0.185509,1.149685,IHDP 18
4.158551,0.168306,0.424163,IHDP 19
2.62605,0.233631,1.452229,IHDP 20
4.047627,0.078508,0.660517,IHDP 21
3.800921,0.06085,1.337808,IHDP 22
4.057528,0.046245,1.667135,IHDP 23
4.639481,0.205388,0.476828,IHDP 24
7.13922,0.045045,4.02412,IHDP 25
3.780237,0.090176,0.529298,IHDP 26
9.635893,1.048208,29.582016,IHDP 27
4.061815,0.088447,0.820517,IHDP 28
4.410239,0.061444,0.834694,IHDP 29
4.722614,0.018972,0.291211,IHDP 30
3.924763,0.165466,0.501083,IHDP 31
4.189694,0.388827,0.698019,IHDP 32
-0.840019,0.670699,70.958904,IHDP 33
4.606642,0.008596,0.726643,IHDP 34
4.495566,0.060077,0.748703,IHDP 35
0.904956,0.014517,1.58444,IHDP 36
4.41231,0.088362,0.601643,IHDP 37
7.337631,0.031766,0.932669,IHDP 38
3.510525,0.274454,2.548393,IHDP 39
4.349574,0.078987,0.382929,IHDP 40
3.865287,0.097479,0.486525,IHDP 41
4.413547,0.228032,0.520409,IHDP 42
3.971858,0.48778,0.751272,IHDP 43
2.860818,0.184734,0.635461,IHDP 44
4.454119,0.098138,0.323415,IHDP 45
5.273077,0.258242,0.820099,IHDP 46
3.817628,0.327015,0.921224,IHDP 47
4.375226,0.090412,0.632566,IHDP 48
3.960109,0.181638,0.510598,IHDP 49
4.468,0.067201,0.371408,IHDP 50
4.443984,0.218763,0.414886,IHDP 51
5.184143,0.020066,2.406957,IHDP 52
2.93429,0.368574,2.667702,IHDP 53
3.712252,0.21337,0.72062,IHDP 54
4.0445,0.541541,0.87256,IHDP 55
4.082733,0.093902,0.361441,IHDP 56
4.513344,0.345419,0.731431,IHDP 57
4.181243,0.100984,0.455525,IHDP 58
1.981204,0.189113,9.333477,IHDP 59
4.071497,0.368762,1.269723,IHDP 60
4.201033,0.070701,0.405184,IHDP 61
4.368132,0.161888,0.725876,IHDP 62
2.854048,0.046072,0.51352,IHDP 63
3.049914,0.059779,1.228487,IHDP 64
4.067646,0.067081,0.406023,IHDP 65
4.024227,0.233389,1.208862,IHDP 66
12.93584,0.096549,6.318639,IHDP 67
3.906576,0.083347,0.510573,IHDP 68
3.996942,0.111249,0.743764,IHDP 69
5.285123,0.030333,1.44934,IHDP 70
3.993969,0.390445,1.111359,IHDP 71
3.879233,0.059166,0.436013,IHDP 72
4.134216,0.168667,0.415925,IHDP 73
4.015646,0.51412,1.62713,IHDP 74
4.527299,0.105705,0.59619,IHDP 75
4.29294,0.39077,0.819798,IHDP 76
3.995405,0.096027,0.426423,IHDP 77
4.242205,0.046972,0.419415,IHDP 78
3.996348,0.058916,0.664775,IHDP 79
12.053617,1.870048,11.762048,IHDP 80
1.770824,0.048678,2.558725,IHDP 81
3.702904,0.33989,0.820867,IHDP 82
2.611181,0.972136,18.481068,IHDP 83
-2.500215,0.11407,19.709184,IHDP 84
3.711785,0.145908,3.32143,IHDP 85
4.898359,0.549307,1.538783,IHDP 86
3.987934,0.15218,0.512863,IHDP 87
3.532426,0.060217,0.623624,IHDP 88
3.678999,0.221701,0.965917,IHDP 89
3.927142,0.016846,0.676258,IHDP 90
3.147813,0.105058,1.124554,IHDP 91
6.444968,0.028618,3.172043,IHDP 92
4.269753,0.146903,0.573713,IHDP 93
4.248175,0.13823,0.407149,IHDP 94
4.26584,0.344625,0.749362,IHDP 95
