ATE,Error_ATE,Error_PEHE,Problem
4.030549,0.05455599999999999,0.417735,IHDP 0
3.959626,0.158617,0.367334,IHDP 1
3.997861,0.151342,0.6329229999999999,IHDP 2
4.44431,0.332584,0.552374,IHDP 3
4.2625470000000005,0.012828,0.459608,IHDP 4
3.937132,0.197245,0.5197890000000001,IHDP 5
3.9585,0.016881999999999998,0.42648400000000003,IHDP 6
3.711442,0.21739099999999997,0.737701,IHDP 7
12.825092999999999,0.816768,17.914339000000002,IHDP 8
2.778521,0.12891,0.7974319999999999,IHDP 9
3.893408,0.038727,0.349034,IHDP 10
4.893555,0.13508699999999998,0.500729,IHDP 11
14.549109,1.4569302620159077,11.77505978566723,IHDP 12
3.819642,0.197632,0.387497,IHDP 13
3.920643,0.096341,0.5995510000000001,IHDP 14
4.53679,0.037755000000000004,0.423015,IHDP 15
3.8575480000000004,0.260181,0.689606,IHDP 16
3.4977769999999997,0.5362020000000001,0.792657,IHDP 17
3.650291,0.051514,0.691131,IHDP 18
4.158551,0.020462,0.394333,IHDP 19
2.62605,0.11218900000000001,1.048558,IHDP 20
4.047626999999999,0.062173,0.48578699999999997,IHDP 21
3.8009209999999998,0.381301,1.085998,IHDP 22
4.057528,0.209387,1.4298469999999999,IHDP 23
4.639481,0.20529099999999997,0.44867799999999997,IHDP 24
7.13922,1.173227,5.458839,IHDP 25
3.780237,0.22183699999999998,0.5133939999999999,IHDP 26
9.635893,1.0513004495994145,29.47847551439408,IHDP 27
4.061815,0.010057,0.602839,IHDP 28
4.410239,0.15354600000000002,0.728973,IHDP 29
4.722614,0.151648,0.220871,IHDP 30
3.9247629999999996,0.08307300000000001,0.388153,IHDP 31
4.189694,0.120219,0.39218000000000003,IHDP 32
-0.8400190000000001,0.6681263451450647,70.5604228634063,IHDP 33
4.606642,0.289704,0.5878720000000001,IHDP 34
4.495566,0.13387000000000002,0.488679,IHDP 35
0.904956,0.086134,0.586669,IHDP 36
4.41231,0.14962999999999999,0.525817,IHDP 37
7.337631,0.511402,1.0262950000000002,IHDP 38
3.510525,0.165787,1.5741399999999999,IHDP 39
4.349574,0.027937,0.342383,IHDP 40
3.8652870000000004,0.191209,0.329811,IHDP 41
4.413547,0.202132,0.497655,IHDP 42
3.971858,0.4623,0.535429,IHDP 43
2.860818,0.327191,0.7733939999999999,IHDP 44
4.454119,0.36336,0.47609799999999997,IHDP 45
5.273077,0.459333,0.762418,IHDP 46
3.817628,0.154042,0.693264,IHDP 47
4.3752260000000005,0.013255000000000001,0.253,IHDP 48
3.9601089999999997,0.13838399999999998,0.422868,IHDP 49
4.468,0.31608600000000003,0.393895,IHDP 50
4.4439839999999995,0.149144,0.41165799999999997,IHDP 51
5.184143,0.076418,1.0212350000000001,IHDP 52
2.9342900000000003,0.14798499999999998,1.752688,IHDP 53
3.712252,0.20063599999999998,0.5060060000000001,IHDP 54
4.0445,0.299205,0.488842,IHDP 55
4.082733,0.40120700000000004,0.29884499999999997,IHDP 56
4.513344,0.270271,0.542626,IHDP 57
4.181243,0.23739000000000002,0.672323,IHDP 58
1.9812040000000002,0.7085899999999999,9.572022,IHDP 59
