ATE,Error_ATE,Error_PEHE,Problem
4.030549,0.107652,0.577741,IHDP 0
3.959626,0.023918000000000002,0.389412,IHDP 1
3.997861,0.017567,0.613729,IHDP 2
4.44431,0.168925,0.376286,IHDP 3
4.2625470000000005,0.14921500000000001,0.527404,IHDP 4
3.937132,0.033412,0.430601,IHDP 5
3.9585,0.10633699999999999,0.48600299999999996,IHDP 6
3.711442,0.096593,0.576633,IHDP 7
12.825092999999999,0.5090872688288599,11.453505716483944,IHDP 8
2.778521,0.16200599999999998,0.8263010000000001,IHDP 9
3.893408,0.043222000000000003,0.567602,IHDP 10
4.893555,0.037257,0.5316350000000001,IHDP 11
14.549109,1.4573191193566568,11.759864407116293,IHDP 12
3.819642,0.27637399999999995,0.432846,IHDP 13
3.920643,0.171853,0.6997939999999999,IHDP 14
4.53679,0.081287,0.466984,IHDP 15
3.8575480000000004,0.32907800000000004,0.736279,IHDP 16
3.4977769999999997,0.692394,1.199063,IHDP 17
3.650291,0.013257,0.9000049999999999,IHDP 18
4.158551,0.163234,0.357018,IHDP 19
2.62605,0.367956,1.1728969999999999,IHDP 20
4.047626999999999,0.124126,0.32855,IHDP 21
3.8009209999999998,0.519948,1.299715,IHDP 22
4.057528,0.130745,1.7446549999999998,IHDP 23
4.639481,0.128392,0.317379,IHDP 24
7.13922,0.667432,3.034688,IHDP 25
3.780237,0.187091,0.35878899999999997,IHDP 26
9.635893,1.0486654532409292,29.44736927157177,IHDP 27
4.061815,0.2114,0.816446,IHDP 28
4.410239,0.076244,0.7114090000000001,IHDP 29
4.722614,0.068299,0.31205900000000003,IHDP 30
3.9247629999999996,0.148642,0.388388,IHDP 31
4.189694,0.489145,0.7487739999999999,IHDP 32
-0.8400190000000001,0.6719613323239713,70.93083410180735,IHDP 33
4.606642,0.39581900000000003,0.552491,IHDP 34
4.495566,0.118047,0.48780200000000007,IHDP 35
0.904956,0.42435600000000007,1.4961149999999999,IHDP 36
4.41231,0.24258200000000002,0.6947840000000001,IHDP 37
7.337631,0.050461,0.486896,IHDP 38
3.510525,0.004089,1.920188,IHDP 39
4.349574,0.21024099999999998,0.363427,IHDP 40
3.8652870000000004,0.24627399999999997,0.32779400000000003,IHDP 41
4.413547,0.23172199999999998,0.5231520000000001,IHDP 42
3.971858,0.196994,0.290444,IHDP 43
2.860818,0.203327,0.516407,IHDP 44
4.454119,0.35602399999999995,0.5584100000000001,IHDP 45
5.273077,0.5131439999999999,0.8816129999999999,IHDP 46
3.817628,0.18959,0.806459,IHDP 47
4.3752260000000005,0.13268,0.40993100000000005,IHDP 48
3.9601089999999997,0.043909,0.342999,IHDP 49
4.468,0.27100799999999997,0.324378,IHDP 50
4.4439839999999995,0.21583400000000003,0.29208,IHDP 51
5.184143,0.348139,1.7454779999999999,IHDP 52
2.9342900000000003,0.169127,2.289068,IHDP 53
